id,testset_segid,global_segid,source,reference,system,translation,mqm_avg_score,score_textdavinci003_standard,score_textdavinci003_EA_zeroshot,score_textdavinci003_EA,score_ChatGPT_standard,score_ChatGPT_EA_zeroshot,score_ChatGPT_EA
1,1,164,他既继承了戴高乐主义独立自主的外交精神，又坚定支持欧洲一体化，是追逐“欧洲梦”的代表人物。,"He inherited the independent diplomatic spirit of Gaullism, firmly supported European integration, and is a representative figure in the pursuit of the ""European Dream"".",Huoshan_Translate.919,"He not only inherited the independent diplomatic spirit of Gaullist, but also firmly supported European integration. He is a representative figure in pursuit of the ""European dream"".",-5.033333,95,0,-8,95.0,-1,-2
2,1,164,他既继承了戴高乐主义独立自主的外交精神，又坚定支持欧洲一体化，是追逐“欧洲梦”的代表人物。,"He inherited the independent diplomatic spirit of Gaullism, firmly supported European integration, and is a representative figure in the pursuit of the ""European Dream"".",WeChat_AI.1525,"He not only inherited the independent diplomatic spirit of Gaullist, but also firmly supported European integration and was a representative figure in pursuing the ""European dream.""",-6.066667,95,-1,-9,90.0,-1,-2
3,1,164,他既继承了戴高乐主义独立自主的外交精神，又坚定支持欧洲一体化，是追逐“欧洲梦”的代表人物。,"He inherited the independent diplomatic spirit of Gaullism, firmly supported European integration, and is a representative figure in the pursuit of the ""European Dream"".",Tencent_Translation.1249,"He not only inherited the independent diplomatic spirit of Gaullist, but also firmly supported European integration, and was a representative figure in the pursuit of the ""European Dream"".",-2.333333,95,-1,-9,95.0,-2,-2
4,1,164,他既继承了戴高乐主义独立自主的外交精神，又坚定支持欧洲一体化，是追逐“欧洲梦”的代表人物。,"He inherited the independent diplomatic spirit of Gaullism, firmly supported European integration, and is a representative figure in the pursuit of the ""European Dream"".",OPPO.1422,"He not only inherited the diplomatic spirit of de Gaulle's independence, but also firmly supported European integration and was a representative figure in the pursuit of the ""European dream"".",-7.4,95,-1,-14,95.0,-1,-1
5,1,164,他既继承了戴高乐主义独立自主的外交精神，又坚定支持欧洲一体化，是追逐“欧洲梦”的代表人物。,"He inherited the independent diplomatic spirit of Gaullism, firmly supported European integration, and is a representative figure in the pursuit of the ""European Dream"".",THUNLP.1498,"He not only inherited the independent diplomatic spirit of Charles de Gaulle, but also firmly supported European integration and was a representative figure in the pursuit of the ""European dream.""",-6.066667,95,-1,-14,95.0,0,-1
6,1,164,他既继承了戴高乐主义独立自主的外交精神，又坚定支持欧洲一体化，是追逐“欧洲梦”的代表人物。,"He inherited the independent diplomatic spirit of Gaullism, firmly supported European integration, and is a representative figure in the pursuit of the ""European Dream"".",DeepMind.381,"He not only inherited the independent diplomatic spirit of de Gaulleism, but also firmly supported European integration, and was a representative figure in the pursuit of the ""European Dream"".",-7.4,95,-1,-8,95.0,-1,-2
7,1,164,他既继承了戴高乐主义独立自主的外交精神，又坚定支持欧洲一体化，是追逐“欧洲梦”的代表人物。,"He inherited the independent diplomatic spirit of Gaullism, firmly supported European integration, and is a representative figure in the pursuit of the ""European Dream"".",DiDi_NLP.401,"He not only inherited the independent diplomatic spirit of Charles de Gaullism, but also firmly supported European integration, and was a representative of the pursuit of the ""European Dream.""",-9.066667,95,-1,-8,95.0,-2,-3
8,1,164,他既继承了戴高乐主义独立自主的外交精神，又坚定支持欧洲一体化，是追逐“欧洲梦”的代表人物。,"He inherited the independent diplomatic spirit of Gaullism, firmly supported European integration, and is a representative figure in the pursuit of the ""European Dream"".",Online-B.1605,"He not only inherited the independent spirit of Charles de Gaullism, but also firmly supported European integration, and was a representative of the pursuit of the ""European Dream"".",-10.366667,95,-1,-14,95.0,-3,-3
9,2,787,基准兵是第一排面的第一名，直接决定着方队的整齐程度。,"The pacesetter is the first in the first row, and directly determines the uniformity of the entire formation.",Huoshan_Translate.919,"The benchmark soldier is the first in the first row, which directly determines the neatness of the square team.",-3.333333,95,-1,-13,85.0,-6,-2
10,2,787,基准兵是第一排面的第一名，直接决定着方队的整齐程度。,"The pacesetter is the first in the first row, and directly determines the uniformity of the entire formation.",WeChat_AI.1525,"The benchmark soldier is the first in the first row, which directly determines the neatness of the square team.",-3.333333,95,-1,-13,90.0,-2,-1
11,2,787,基准兵是第一排面的第一名，直接决定着方队的整齐程度。,"The pacesetter is the first in the first row, and directly determines the uniformity of the entire formation.",Tencent_Translation.1249,"The benchmark soldier is the first in the first row, which directly determines the tidiness of the square team.",-3.666667,90,-1,-13,90.0,-6,-2
12,2,787,基准兵是第一排面的第一名，直接决定着方队的整齐程度。,"The pacesetter is the first in the first row, and directly determines the uniformity of the entire formation.",OPPO.1422,"The base soldier is the first in the first row, which directly determines the tidiness of the squadron.",-4.0,95,-1,-14,85.0,-1,-10
13,2,787,基准兵是第一排面的第一名，直接决定着方队的整齐程度。,"The pacesetter is the first in the first row, and directly determines the uniformity of the entire formation.",THUNLP.1498,"The base soldier is the first in the first row, which directly determines the tidiness of the square team.",-7.0,90,-1,-14,90.0,-2,-12
14,2,787,基准兵是第一排面的第一名，直接决定着方队的整齐程度。,"The pacesetter is the first in the first row, and directly determines the uniformity of the entire formation.",DeepMind.381,"The benchmark soldier is the first in the first row, which directly determines the neatness of the square team.",-3.333333,95,-1,-13,95.0,-1,-1
15,2,787,基准兵是第一排面的第一名，直接决定着方队的整齐程度。,"The pacesetter is the first in the first row, and directly determines the uniformity of the entire formation.",DiDi_NLP.401,The base soldier is the first in the first row and directly determines the order of the square team.,-5.0,90,-1,-14,85.0,-6,-2
16,2,787,基准兵是第一排面的第一名，直接决定着方队的整齐程度。,"The pacesetter is the first in the first row, and directly determines the uniformity of the entire formation.",Online-B.1605,The base soldier is the first in the first row and directly determines the order of the square team.,-6.666667,90,-1,-14,87.5,-17,-10
