id,testset_segid,global_segid,source,reference,system,translation,mqm_avg_score,score_textdavinci003_EA,score_ChatGPT_EA
1,1,87,"Foreign women, however, will be required to wear ""modest clothing,"" he added, without elaborating.","Von den ausländischen Frauen wird jedoch verlangt, „sittsame Kleidung“ zu tragen, fügte er hinzu, ohne dies näher auszuführen.",Tohoku-AIP-NTT.890,"Ausländische Frauen müssten jedoch ""bescheidene Kleidung"" tragen, fügte er hinzu, ohne näher darauf einzugehen.",-2.133333,-14,0
2,1,87,"Foreign women, however, will be required to wear ""modest clothing,"" he added, without elaborating.","Von den ausländischen Frauen wird jedoch verlangt, „sittsame Kleidung“ zu tragen, fügte er hinzu, ohne dies näher auszuführen.",OPPO.1535,"Ausländische Frauen müssten jedoch „bescheidene Kleidung“ tragen, fügte er hinzu, ohne näher darauf einzugehen.",-2.0,-13,-2
3,1,87,"Foreign women, however, will be required to wear ""modest clothing,"" he added, without elaborating.","Von den ausländischen Frauen wird jedoch verlangt, „sittsame Kleidung“ zu tragen, fügte er hinzu, ohne dies näher auszuführen.",eTranslation.737,"Ausländische Frauen werden jedoch verpflichtet sein, „bescheidene Kleidung“ zu tragen, fügte er hinzu, ohne näher darauf einzugehen.",-2.333333,-13,0
4,1,87,"Foreign women, however, will be required to wear ""modest clothing,"" he added, without elaborating.","Von den ausländischen Frauen wird jedoch verlangt, „sittsame Kleidung“ zu tragen, fügte er hinzu, ohne dies näher auszuführen.",Tencent_Translation.1520,"Ausländische Frauen müssten jedoch „bescheidene Kleidung“ tragen, fügte er hinzu, ohne auszuarbeiten.",-4.0,-14,-12
5,1,87,"Foreign women, however, will be required to wear ""modest clothing,"" he added, without elaborating.","Von den ausländischen Frauen wird jedoch verlangt, „sittsame Kleidung“ zu tragen, fügte er hinzu, ohne dies näher auszuführen.",Huoshan_Translate.832,"Ausländische Frauen werden jedoch verpflichtet, „bescheidene Kleidung“ zu tragen, fügte er hinzu, ohne näher darauf einzugehen.",-2.0,-13,0
6,1,87,"Foreign women, however, will be required to wear ""modest clothing,"" he added, without elaborating.","Von den ausländischen Frauen wird jedoch verlangt, „sittsame Kleidung“ zu tragen, fügte er hinzu, ohne dies näher auszuführen.",Online-B.1590,"Ausländische Frauen müssen jedoch ""bescheidene Kleidung"" tragen, ohne näher darauf einzugehen.",-4.5,-13,-2
7,1,87,"Foreign women, however, will be required to wear ""modest clothing,"" he added, without elaborating.","Von den ausländischen Frauen wird jedoch verlangt, „sittsame Kleidung“ zu tragen, fügte er hinzu, ohne dies näher auszuführen.",Online-A.1574,"Ausländische Frauen müssten jedoch ""bescheidene Kleidung"" tragen, fügte er hinzu, ohne näher darauf einzugehen.",-2.166667,-14,-2
8,2,583,"He added, ""@leondame MURDERED the catwalk @maisonmargiela. Guess it's true what they say. There ain't nothin"" like a DAME!""","Er fügte außerdem hinzu: „@leondame STAHL DIE SHOW @maisonmargiela. Es sieht so aus, als stimme, was behauptet wird. Nichts geht über einen DAME!“",Tohoku-AIP-NTT.890,"Er fügte hinzu: ""@leondame MURDERED the catwalk @maisonmargiela. Guess it's true what they say. There ain't Nothin"" wie ein DAME!""",-1.2,-14,-13
9,2,583,"He added, ""@leondame MURDERED the catwalk @maisonmargiela. Guess it's true what they say. There ain't nothin"" like a DAME!""","Er fügte außerdem hinzu: „@leondame STAHL DIE SHOW @maisonmargiela. Es sieht so aus, als stimme, was behauptet wird. Nichts geht über einen DAME!“",OPPO.1535,"Er fügte hinzu: „@ leondame MURDERED the catwalk @ maisonmargiela. Denke, es ist wahr, was sie sagen. Es gibt nichts“ wie ein DAME! „",-2.866667,-15,-12
10,2,583,"He added, ""@leondame MURDERED the catwalk @maisonmargiela. Guess it's true what they say. There ain't nothin"" like a DAME!""","Er fügte außerdem hinzu: „@leondame STAHL DIE SHOW @maisonmargiela. Es sieht so aus, als stimme, was behauptet wird. Nichts geht über einen DAME!“",eTranslation.737,"Er fügte hinzu: ""Leondame MURDERED den Laufsteg 'maisonmargiela. Raten Sie, es ist wahr, was sie sagen.",-8.033333,-15,-17
11,2,583,"He added, ""@leondame MURDERED the catwalk @maisonmargiela. Guess it's true what they say. There ain't nothin"" like a DAME!""","Er fügte außerdem hinzu: „@leondame STAHL DIE SHOW @maisonmargiela. Es sieht so aus, als stimme, was behauptet wird. Nichts geht über einen DAME!“",Tencent_Translation.1520,"Er fügte hinzu: “@ leondame MURDERED den Laufsteg @ maisonmargiela. Raten Sie, es ist wahr, was sie sagen. Es gibt nichts“ wie ein DAME! “",-7.433333,-14,-12
12,2,583,"He added, ""@leondame MURDERED the catwalk @maisonmargiela. Guess it's true what they say. There ain't nothin"" like a DAME!""","Er fügte außerdem hinzu: „@leondame STAHL DIE SHOW @maisonmargiela. Es sieht so aus, als stimme, was behauptet wird. Nichts geht über einen DAME!“",Huoshan_Translate.832,"Er fügte hinzu: „@ leondame MURDERED the catwalk @ maisonmargiela. Guess it 's true what they say. There ain' t nothin“ like a DAME! """,-1.233333,-14,-13
13,2,583,"He added, ""@leondame MURDERED the catwalk @maisonmargiela. Guess it's true what they say. There ain't nothin"" like a DAME!""","Er fügte außerdem hinzu: „@leondame STAHL DIE SHOW @maisonmargiela. Es sieht so aus, als stimme, was behauptet wird. Nichts geht über einen DAME!“",Online-B.1590,"Er fügte hinzu: ""@leondame hat den Laufsteg @maisonmargiela ermordet. Vermutlich ist es wahr, was sie sagen. Es gibt nichts"" wie eine DAME! """,-0.266667,-13,-4
